Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3075,56.67,0.01427196999975422,18446744073631039488,1,2
3075,56.67,0.015443419999428443,402915328,1,1
3075,56.67,0.014702290000059293,12679858362582564864,1,1
3075,56.67,0.024432584001260693,18446744072378515456,1,8
3075,56.67,0.012905767998745432,18369426416044343296,3,1
2640,56.72,0.01797690000057628,14019274631446265856,1,3
3075,57.20,0.2176341329995921,2237792256,2,290
3075,57.20,0.017758711999704246,13866240205045891072,1,3
3075,57.20,0.01597504600067623,894042112,1,1
3075,57.20,0.017063314999177237,16097580306361483264,1,4
3075,57.20,0.015487069000300835,371851264,1,1
3075,57.24,0.023459031001038966,18446744070186336256,1,8
3075,57.24,0.013074384998617461,3187671040,1,2
3075,57.24,0.01288660600039293,8240197535390498816,1,1
3075,57.24,0.01630357800058846,18446744072432123904,1,2
3075,57.24,0.017721017999065225,7073343019436474368,1,3
3075,57.24,0.014423999000428012,759300096,1,2
3075,57.29,0.015197622000414412,513277952,1,1
3075,57.29,0.014710376999573782,18446744071959609344,1,1
3075,57.29,0.01424238400068134,18446744071041318912,1,2
3075,57.29,0.015691184000388603,18446744071637565440,1,1
3075,57.29,0.01563503799843602,18446744072971354112,1,1
3075,57.29,0.015985334001015872,2397524686784167936,1,1
3075,57.29,0.01327196400052344,16581752450675900416,2,1
3075,57.29,0.014323321000119904,18446744071561019392,2,2
3075,57.29,0.015511458999753813,18446744072944091136,1,1
3075,57.29,0.014098206998824026,503971840,1,1
3075,57.29,0.016568453000218142,18446744072576172032,1,4
3075,57.29,0.01510315900122805,3488600861351870464,1,1
3075,57.29,0.013324503999683657,503971840,1,1
3075,57.29,0.018041029999949387,3316514816,1,3
3075,57.17,0.014072738998947898,4909961532810461184,1,2
3075,57.17,0.01714608900147141,18446744071959609344,1,4
3075,57.17,0.014283517999501782,18446744072069709824,1,2
3075,57.17,0.01670511100019212,665190400,1,3
3075,57.17,0.014165220998620498,532807680,1,1
3075,57.17,0.013103626000884105,18446744073245032448,1,1
3075,57.10,0.01554104900060338,503971840,1,1
3075,57.10,0.015535934999206802,18446744072423342080,1,3
3075,57.10,0.015461705999769038,9102249835938971648,1,1
3075,57.10,0.014123910001217155,18446744072838447104,1,1
3075,57.10,0.014003294998474303,18446744073612689408,2,1
3075,57.10,0.018011742000453523,3128950784,1,4
3075,57.10,0.01608503799980099,63963136,1,2
3075,57.01,0.015091496999957599,18446744073195487232,1,1
3075,57.01,0.019509384999764734,18446744072737914880,1,7
3075,57.01,0.015254312000251957,18446744072022261760,1,1
3075,57.01,0.014991504000136047,18446744071959609344,1,1
3075,57.01,0.012542177000796073,18446744070636306432,1,1
3075,57.01,0.015282947999367025,18446744070186336256,1,1
3075,57.05,0.013142359000994475,18446744073541779456,1,1
3075,57.05,0.015267965998646105,18446744072373141504,2,1
3075,57.05,0.016725655001209816,425721856,1,2
